idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
1931,label,decision theory,dynamic programming,educational courses,operations research,probability,statistical analysis,,,,,,,,,,,,,,
1932,multipartiterank,adaptive,algorithms,processes,remote step complexity,efficient mutual exclusion,number,steps,point contention,active,system response time,time interval,paper,space complexity,algorithm execution,maximal number,adaptive algorithms,subsequent entries,performance,mutual exclusion,operations
1932,label,adaptive systems,computational complexity,distributed algorithms,shared memory systems,,,,,,,,,,,,,,,,
1933,multipartiterank,accelerated simulation,steady,state availability,systems,repair,class,evaluation,numerical examples,investigation,general accelerated simulation method,,,,,,,,,,
1933,label,fault trees,probability,system recovery,,,,,,,,,,,,,,,,,
1934,multipartiterank,isomerism descriptors,novel ze,qsar analysis,molecular topology,several series,extended connectivity,application,topological charge indices,overall zagreb indices,descriptors,molecular connectivity indices,complex numbers,mathematical properties,different subgroups,real,comput,use,similar,inf,golbraikh
1934,label,biochemistry,bonds (chemical),chemistry computing,chirality,combinatorial mathematics,isomerism,molecular biophysics,topology,vocabulary,,,,,,,,,,,
1935,multipartiterank,distribution systems,authors,resfal,resonant grounding,software tool,regard,distribution network resonant grounding systems,behavior,compensation coil,detection,,,,,,,,,,
1935,label,coils,compensation,earthing,power distribution faults,power distribution protection,power system analysis computing,software packages,,,,,,,,,,,,,
1936,multipartiterank,organization design,organizational structures,new forms,information technology,task environment,influence,article,development,forms,organization,information processing perspective,paper,catalyst,unstable environment,historical linkage,relative stability,shadow structure,second world war,substitute,organizational design
1936,label,dp management,information technology,social aspects of automation,,,,,,,,,,,,,,,,,
1937,multipartiterank,affine invariants,convex polygons,image registration,complete set,object recognition,cohen,yang,correspondence,ibid,vol,independent,use,invariants,significant reduction,july,dependent,new set,computing complexity,discrimination power,
1937,label,computational complexity,feature extraction,image registration,object recognition,,,,,,,,,,,,,,,,
1938,multipartiterank,proposal,request,mysterious,daunting,publishing,uninitiated,fulfillment rfp,format,first time,,,,,,,,,,,
1938,label,publishing,,,,,,,,,,,,,,,,,,,
1939,multipartiterank,cast shadow detection,monocular color traffic image,effective,vehicles,cast shadow,accurate scene analysis,robust segmentation,probability map,neighboring scss,stationary background,vehicle region,edge pixel,result,chrominance,gradient density,luminance,presence,shadow confidence score,small,geometry domains
1939,label,brightness,image colour analysis,image recognition,image segmentation,image sensors,image sequences,road vehicles,transportation,,,,,,,,,,,,
1940,multipartiterank,government procurement,electronic tendering,bids,vendors,contract development tools,lesson,framework,taiwan,transparent,government bodies,certificate authorization,nondiscriminating,request,proposal,vendor registration,system,internet,accountable,rfp,turn benefits
1940,label,certification,contracts,government data processing,internet,public key cryptography,purchasing,systems re-engineering,,,,,,,,,,,,,
1941,multipartiterank,broadcasts,intranets,picture,staff,mark hawkins,chief,officer,media specialist twofourtv,firms,corporate intranets,broadcasting technology,,,,,,,,,
1941,label,broadcasting,intranets,,,,,,,,,,,,,,,,,,
1942,multipartiterank,molecular surfaces,surface complementarity,algorithms,biomolecular complexes,complex structures,quantitative treatment,complementarity,molecular docking problems,pattern recognition strategies,fuzzy logic,ibid,solution,vol,identification,part,standard technologies,optimization,first step,downhill simplex method,series
1942,label,chemistry computing,fuzzy logic,fuzzy set theory,molecular configurations,pattern recognition,physics computing,,,,,,,,,,,,,,
1943,multipartiterank,basic japanese,database,characteristics,accessible database,web,standard,list,previous research,usage,jooyoo kanji,print,pronunciation,specifications,hyo,standard deviations,distributions,detail,means,information,various characteristics
1943,label,behavioural sciences computing,character sets,information resources,,,,,,,,,,,,,,,,,
1944,multipartiterank,small academic library,service side,systems librarianship,systems librarian,role,online catalogs,internet,convenient,need,professionals,library accessibility,new technology,library buildings,effects,typical duties,librarianship,blurring relationship,campus,services,library
1944,label,academic libraries,internet,library automation,,,,,,,,,,,,,,,,,
1945,multipartiterank,adaptive filtering,noise reduction,hsi,saturation intensity color space,color model,analysis,conversion formulas,nonlinear,color image processing,nonuniform noise distribution,saturation intensity,rgb color model,saturation,comparison,edge maps,accurate image analysis,rgb image,random gaussian noise,difficult,adaptive filtering method
1945,label,adaptive optics,colorimetry,edge detection,image colour analysis,optical noise,optical saturation,spatial filters,,,,,,,,,,,,,
1946,multipartiterank,control centers,security,market rules,electric service,article,ems,different structures,uncertainties,energy management system,changes,reliability,quality,place,major functions,control center infrastructures,load,standard components,application software package,continuity,concern
1946,label,control facilities,energy management systems,load regulation,power system control,power system security,,,,,,,,,,,,,,,
1947,multipartiterank,performance buildings,abb,industrial,radical solution,buildings,user,close look,processes,end,technical infrastructure,systems,center,needs,realization,tasks,new solution,office meeting,hotel guest,patient,manufacturing
1947,label,access control,building management systems,computer networks,,,,,,,,,,,,,,,,,
1948,multipartiterank,success,mergers,consultancy kpmg,crucial,merger pitfalls paul diamond,,,,,,,,,,,,,,,
1948,label,dp management,,,,,,,,,,,,,,,,,,,
1949,multipartiterank,states,complex systems,fuzzy information,basis,identification,admissible measurement errors,estimation,problem,fuzzy values,informative attributes,admissible degree,measurement error,apparatus,fuzzy set theory,possible,current state,system,,,
1949,label,fuzzy logic,fuzzy set theory,,,,,,,,,,,,,,,,,,
1950,multipartiterank,evaluation,information technology investments,available models,decision,conceptual framework,major evaluation categories,risks factors,intangible benefits factors,paper,model,tangible,future expansion,number,selection problems,serious evaluation,new information technology,review,technology managers,integer goal linear programming,needs
1950,label,information technology,investment,mathematical programming,,,,,,,,,,,,,,,,,
1951,multipartiterank,wrong,err,author,good investment,firm,awkward look,money,contract,question,surprised,best investment,law firm web site,time,web strategy,particular hurdle,,,,,
1951,label,dp management,information resources,internet,legislation,,,,,,,,,,,,,,,,
1952,multipartiterank,microscope,objective plane,autofocus system,object lens,eccentric light beam approach,light source,high resolution,wide focusing range,signal,focal plane,technique,eccentric,semiconductor laser device,compact construction,main light axis,laser beam,experimental setup,principle,symmetrical silicon photocell,theoretical formula
1952,label,lenses,micropositioning,optical focusing,optical microscopes,,,,,,,,,,,,,,,,
1953,multipartiterank,decoherence,state quantum,proposals,solid,solution,design,logical qubit,problems,scalable quantum,devices,particular,state proposals,pulse sequences,comprehensive encoding,major concerns,interaction,environment,single,severe engineering constraints,practical solution
1953,label,encoding,exchange interactions (electron),quantum computing,semiconductor quantum dots,,,,,,,,,,,,,,,,
1954,multipartiterank,spreadsheet,generalized pert,cpm implementation,paper,cpm algorithm,project network,problem,recent shift,traditional pert,attention,critical path,implementation,importance,management science,end,vehicle,operations research,techniques,spreadsheet environment,users
1954,label,pert,spreadsheet programs,,,,,,,,,,,,,,,,,,
1955,multipartiterank,secure,senior business managers,systems,system risk companies,responsible,failure,assurance,businesses,commercial security standards,corporate systems,risks,implications,event,serious financial impacts,commercial embarrassment,fines,sanctions,formal risk management framework,place,regulators
1955,label,risk management,security of data,,,,,,,,,,,,,,,,,,
1956,multipartiterank,ibm internship program,big ideas,ibm,science,computer,mba students,fresh voices,business managers,11-week summer internship program,innovative technology ideas,,,,,,,,,,
1956,label,dp industry,ibm computers,research initiatives,,,,,,,,,,,,,,,,,
1957,multipartiterank,nonlinear systems,body forces,sources,nonisothermal,sup,equations,nonlinear effect,presence,certain boundary value problems,nonlinear,systems,shaw flows,weak solutions,initial,formal derivation,injection moulding,paper,basic equations,several systems,existence
1957,label,boundary-value problems,moulding,nonlinear systems,,,,,,,,,,,,,,,,,
1958,multipartiterank,distress,naomi campbell,data protection act,first case,mirror group newspapers,damage,kind,drugs,breach,legal implications,online publishers,case,aware,,,,,,,
1958,label,legislation,,,,,,,,,,,,,,,,,,,
1959,multipartiterank,rectangular room,coherence,high,traffic noise transmission,rise buildings,results,method,open window,wave theory,anc,room,experimental investigations,sound pressure,paper,mode,one,theory,error signals,theoretical,limitations
1959,label,active noise control,architectural acoustics,noise pollution,,,,,,,,,,,,,,,,,
1960,multipartiterank,spatial rainfall simulator,crop production modeling,rainfall,meteorological stations,spatial units,long,small number,dekads,southern africa,term meteorological records,available,district,wards,set,methodology,paper,areas,sites,work,part
1960,label,agriculture,modelling,parameter estimation,rain,weather forecasting,,,,,,,,,,,,,,,
1961,multipartiterank,web site firm,firm,company,technical skills,sure,web site,business experience,work,target,paper,investment,depth,excellent customer service,factors,track record,skills,return,budget,breadth,good portfolio
1961,label,information resources,law administration,,,,,,,,,,,,,,,,,,
1962,multipartiterank,proactive password restrictions,users,influence,authentication,computer security,experiments,length restriction,characters,time,passwords,additional restrictions,minimum,user name,identification,procedure,security,computer systems,condition,password combination,required length
1962,label,authorisation,message authentication,,,,,,,,,,,,,,,,,,
1963,multipartiterank,hybrid simulation,helmholtz instability,kelvin,models,massless fluid representation,space plasmas,electrons,literature,finite size,survey,particles,mat,informatika,medium,size objects,compressibility,velocity shear region,tangential discontinuity,finite,prikl
1963,label,flow instability,flow simulation,hybrid simulation,magnetohydrodynamics,plasma instability,stability,,,,,,,,,,,,,,
1964,multipartiterank,windshield,robotic solutions,car production line,car windshield assembly,pane relief,place,time,perfect fit,vinyl interlayer,thin glass sheets,clear visibility,crystal,special manufacturing expertise,idea,environmental specifications,car,much reason,fabrication,abb,precise product
1964,label,assembling,automobile industry,industrial robots,,,,,,,,,,,,,,,,,
1965,multipartiterank,computer processing,concussion,acute period,results,article,experimental information,data,mental impairments,patients,number,computational procedures,,,,,,,,,
1965,label,medical administrative data processing,,,,,,,,,,,,,,,,,,,
1966,multipartiterank,intelligent fuzzy decision system,parts,flexible manufacturing system,time scheduling,system performance,multiple performance measures,intelligent fuzzy decision support system,dispatching,real,fms,multiple decision points,alternative routing possibilities,fuzzy logic approach,paper,characteristics,system status,assign priority,performance measures,good level,contrast
1966,label,computer aided production planning,decision support systems,flexible manufacturing systems,fuzzy logic,production control,real-time systems,,,,,,,,,,,,,,
1967,multipartiterank,clinical ecg mapping data,noninvasive myocardial activation time,novel inverse algorithm,linear,newton approach,additional regularization,gauss,nonlinear problem formulation,minimum,norm,mapping data,clinical conditions,ecg,electrocardiographic,square algorithm show insufficient performance,iteration,heart,surface,activation time map,kind
1967,label,electrocardiography,inverse problems,iterative methods,medical image processing,muscle,,,,,,,,,,,,,,,
1968,multipartiterank,section,microactuator,design,resonance mode,scheme,self,variations,fabrication,paper,computer disk,dual,gimbal structure,prototype microactuator,stage servo systems,section ii,decoupled track,mems applications,controller design,control scheme,resonance mode variations
1968,label,compensation,control system synthesis,disc drives,discrete time systems,hard discs,microactuators,pole assignment,position control,self-adjusting systems,,,,,,,,,,,
1969,multipartiterank,power,dram,engine,pda chip,low,dram macros,dimensional,logic,mobile personal digital assistant,pda,area,part,megabit,chip,parallel,line,block mapping,buffer architectures,dependent access,polygon
1969,label,cmos digital integrated circuits,computer graphic equipment,low-power electronics,microprocessor chips,mobile computing,notebook computers,random-access storage,rendering (computer graphics),,,,,,,,,,,,
1970,multipartiterank,multiprocessor systems,application,jets,computation,transfer interface,numerical solution,methods,article,implementation,gas,dynamic problems,wide class,standard data,cluster,processors,simulation,systems,message,application algorithms,parallelization
1970,label,computational fluid dynamics,mathematics computing,message passing,multiprocessing systems,,,,,,,,,,,,,,,,
1971,multipartiterank,intuitionistic fuzzy sets,correlation,centroid method,method,interval,centroid,correlation coefficient,strength,value,paper,formula,means,better,relationship,approach,previous methods,relation,,,
1971,label,fuzzy set theory,,,,,,,,,,,,,,,,,,,
1972,multipartiterank,circuit models,loudspeaker voice,coil inductance losses,frequency dependent,mmf,core,ratio,inductor,effect,separate element,frequency response,parameter estimation,flux,data,signal operation,small,losses,mathematical expressions,resistor,core flux
1972,label,frequency response,inductors,losses,loudspeakers,network parameters,parameter estimation,spice,,,,,,,,,,,,,
1973,multipartiterank,weights,simple case,learning,values,parametric functions,suitable,use,examples,determination,set,paper finishes,arbitrary generator,approach,ratio,weighted means,measure values,general case,case,,
1973,label,learning (artificial intelligence),matrix algebra,minimisation,,,,,,,,,,,,,,,,,
1974,multipartiterank,image,data,theoretic model,capacity,image watermarking,information,attacker,statistical model,hiding systems,distortion constraints,data hider,compute data,data hiding,previous theoretical results,fundamental capacity limits,paper,framework,block,dct,autoregressive
1974,label,autoregressive processes,copy protection,data compression,data encapsulation,discrete cosine transforms,image coding,statistical analysis,wavelet transforms,,,,,,,,,,,,
1975,multipartiterank,variable admittance,nonlinear modulation strategy,dc power systems,hybrid ac,hvdc systems,generator,global linearization method,active power flows,nonlinear control strategy,rectifier ac bus,relationship,large disturbances,inverter,presence,traditional generator dynamic equations,analytical description,transient stability,suitable,differential geometric theory,paper
1975,label,electric admittance,feedback,hvdc power transmission,invertors,linearisation techniques,load flow,nonlinear control systems,power system control,rectifying circuits,,,,,,,,,,,
1976,multipartiterank,fuzzy rule,models,rule,approach,base structure,data,identification,compact form,complex processes,control,competitive,promising candidate,conditioning component modeling application,transparent,neural networks,air,combination,real building,installation,viability
1976,label,fuzzy logic,fuzzy set theory,identification,modelling,unsupervised learning,,,,,,,,,,,,,,,
1977,multipartiterank,national electronic site licensing initiative,license agreements,nesli,behalf,interim evaluation,academic libraries,electronic journals,access,use,joint information systems committee,success,model license agreement,highlights,site licensing,jisc,key issues,questions,evaluation,,
1977,label,academic libraries,contracts,electronic publishing,information resources,library automation,,,,,,,,,,,,,,,
1978,multipartiterank,fidelity finite element model,trauma research,kidney,use,vhf,finite element model,high,model,surfaces,medicine visible human female,project data,nurbs,national library,image segmentation,human kidney,software,creation,spline,organ reconstruction software package,viscoelastic
1978,label,computer animation,finite element analysis,image reconstruction,image representation,image segmentation,kidney,medical image processing,software packages,splines (mathematics),,,,,,,,,,,
1979,multipartiterank,array,crystal optical,adverse effects,many imaging applications,lcopa,nonmechanical device,postprocessing technique,blazed phase,multiple,scene,image plane,liquid,gimbals,mirrors,mechanical beam,broadband imagery,nematic liquid crystal optical,components,desirable,broadband imaging system
1979,label,aberrations,beam steering,deconvolution,image restoration,liquid crystal devices,nematic liquid crystals,optical arrays,reflectivity,spatial filters,,,,,,,,,,,
1980,multipartiterank,decomposition,new approach,boolean functions,method,functions,partitions,boolean,sist,upr,approach,mash,variables,minterms,various forms,theorem,full,concept,simple disjunctive decomposition,partial functions,decomposition clone
1980,label,boolean functions,logic design,,,,,,,,,,,,,,,,,,
1981,multipartiterank,frequency,control system,linear object,signals,unstable continuous linear part,pulse,frequency modulator,stabilization,feedback circuit,boundedness,solutions,conditions,system,initial data,,,,,,
1981,label,closed loop systems,continuous time systems,differential equations,discrete time systems,feedback,linear systems,pulse frequency modulation,stability,,,,,,,,,,,,
1982,multipartiterank,bridge crack inspection,mobile manipulator imaging system,eyesight inspection,preliminary evaluation,arms,cracks,automation,inspectors,ccd cameras,system,manipulator system,development,screening,bridge safety inspections,useful,important part,platform,inspection,precise inspection,devices
1982,label,automatic optical inspection,cameras,ccd image sensors,crack detection,manipulators,mobile robots,structural engineering computing,,,,,,,,,,,,,
1983,multipartiterank,methods,optical correlation,centroid detection,moment function,results,approaches,slms,multiple objects,input scene,correlation,simulations,invariant,optical,experimental results,filter information,purpose,digital,changes,comparisons,different approaches
1983,label,image recognition,image registration,optical correlation,smoothing methods,spatial filters,spatial light modulators,,,,,,,,,,,,,,
1984,multipartiterank,dea,mailshell,spam solution,author,free trial web,number,address,solution,,,,,,,,,,,,
1984,label,data privacy,electronic mail,information resources,,,,,,,,,,,,,,,,,
1985,multipartiterank,information architecture,information systems world,historical summit,emergence,summit,term,years,new field,jasist,idea,history,eye,quick,rapid,sufficient interest,wurman,use,orientations,professionals,may
1985,label,certification,hypermedia,information resources,,,,,,,,,,,,,,,,,
1986,multipartiterank,food processing,bar code labels,wireless terminals,fresh tracks,centralized database,customers,meat products,farmland foods,,,,,,,,,,,,
1986,label,bar codes,data acquisition,food processing industry,mobile computing,production control,,,,,,,,,,,,,,,
1987,multipartiterank,electronic signatures,much ado,regulations,market,confidence,crisis,prospects,february,government,commerce,apace,legal framework,consultation period,short,march,force,january,certification service providers,significance,critics
1987,label,electronic commerce,legislation,standards,,,,,,,,,,,,,,,,,
1988,multipartiterank,net obfuscation,intellectual property,author,obfuscation,net code,reverse engineering,many programs,cost,obfuscation options,loss,nonexistent,available,basic,mixed il,native code assemblies,net platform,managed extensions,microsoft,numerous obfuscators,language
1988,label,industrial property,meta data,network operating systems,reverse engineering,software engineering,,,,,,,,,,,,,,,
1989,multipartiterank,wavelet features,correlation,digital data,automatic registration algorithm,high resolution radiometer,automatic integration,multiple multiplatform remote,fast,missions,importance,disparate sources,data,method,critical,maxima,work,success,endeavors,basic features,advanced
1989,label,geophysical signal processing,geophysical techniques,geophysics computing,image registration,remote sensing,terrain mapping,wavelet transforms,,,,,,,,,,,,,
1990,multipartiterank,internet,building management system,bms,control networks,intranet,web,fms,database integration,open control networks,great interest,access,technical issues,facilities management systems,paper,infrastructures,system,internet protocols,integration,distributed component object model,software development technology
1990,label,building management systems,distributed object management,integrated software,internet,intranets,lan interconnection,open systems,protocols,,,,,,,,,,,,
1991,multipartiterank,ion exchange,mathematical model,inverse problems,process,numerical solution methods,unique solvability,model,compressible ion exchanger,efficiency,ion exchanger compression,methods,numerical experiment,,,,,,,,
1991,label,computability,inverse problems,ion exchange,mathematical programming,,,,,,,,,,,,,,,,
1992,multipartiterank,fuzzy control,multivariable process,modified error,loop,centralized decoupling unit,paper,inputs,squared,equal number,error,outputs,decoupler,control concept,multivariable process systems,parts,adaptive technique,single loop fuzzy controllers,loop interactions,single component vaporizer,proposed control system
1992,label,adaptive control,feedback,fuzzy control,multivariable control systems,optimal control,process control,,,,,,,,,,,,,,
1993,multipartiterank,new notion,problems,equilibrium,proposal,static,place,basic equilibria,application,dynamic game problems,strong active solution,,,,,,,,,,
1993,label,functional equations,game theory,matrix algebra,set theory,,,,,,,,,,,,,,,,
1994,multipartiterank,novel active noise,headset,earshell vibration control,anr,high frequencies,broadband noise reduction,low frequencies,earshell,force actuators,available,active noise,velocity feedback control,passive attenuation,applications,consumer audio,aviation communication,current anr systems,loudspeaker,active noise control,paper
1994,label,acoustic field,acoustic transducers,acoustic wave absorption,acoustic wave transmission,active noise control,force feedback,piezoelectric transducers,robust control,vibration control,,,,,,,,,,,
1995,multipartiterank,reachability sets,multistep control,class,upper estimate,design,restriction,iterative,algorithm,reachability,optimal control,multistep control processes,,,,,,,,,
1995,label,discrete systems,optimal control,reachability analysis,set theory,,,,,,,,,,,,,,,,
1996,multipartiterank,density remote storage,high,ohio state university libraries depository,items,site book storage facility,materials,patrons,article,density,size,30-foot tall shelving,books,sophisticated climate control system,online catalog record,square feet,regular courier deliveries,life,storage facility bring,times,remote location
1996,label,academic libraries,cataloguing,environmental engineering,,,,,,,,,,,,,,,,,
1997,multipartiterank,global algorithms,complexity transitions,finite fields,phase transitions,solutions,basic problem,sparse linear systems,random linear equations,statistical mechanics,large set,able,structure,tools,gaussian elimination,performance,dramatic increase,cpu requirements necessary,memory,finite galois field,computational complexity
1997,label,combinatorial mathematics,computational complexity,cryptography,entropy,galois fields,random processes,sparse matrices,statistical mechanics,,,,,,,,,,,,
1998,multipartiterank,edge detection,scale,spatial,edges,adaptive wavelet,space techniques,image,space domains,noise,pixel,algorithm new methods,geometrical characteristics,probability factor,gradient amplitudes,final edge probability image,adaptive filters,knowledge,chance,improved double thresholding technique,probabilities
1998,label,adaptive filters,data compression,edge detection,image enhancement,matched filters,noise,probability,wavelet transforms,,,,,,,,,,,,
1999,multipartiterank,choice,plurality voting,best option,element set,voters,borda count,self,main options,consistent choice,lessons,approval voting,close number,votes,presidential campaign,united states,behavior,third option,choice rules,winner,small number
1999,label,mathematical programming,,,,,,,,,,,,,,,,,,,
0,tfidf,faces,algorithms,inner loop,face inner loop,face inner,dimensional convex hull,dimensional convex,face,purpose feature detection,purpose feature,general purpose feature,feature detection,feature,convex hull,hull,inner,general purpose,convex,loop,purpose
0,label,cad/cam,computational geometry,feature extraction,spatial reasoning,,,,,,,,,,,,,,,,
1,tfidf,adf,fir,maximum delay,fir adf,pipelined,delay,filter,filtering,transpose,order filter,implementing pipelined,filtering section,classification coefficients,coefficients,maximum,impulse response,impulse,section,method,implementing
1,label,adaptive filters,delays,digital filters,fir filters,least mean squares methods,pipeline processing,,,,,,,,,,,,,,
2,tfidf,surface mounted,health monitoring system,health monitoring,fatigue,situ,mounted,monitoring system,degradation,loading,health,monitoring,structural,elements,surface,detection,waves transmitted beam,waves transmitted,wafer elements detection,wafer elements,using surface mounted
2,label,aircraft testing,automatic testing,computerised monitoring,condition monitoring,crack detection,fatigue testing,intelligent actuators,piezoceramics,piezoelectric transducers,surface acoustic wave transducers,surface acoustic waves,,,,,,,,,
3,tfidf,building,hvac,building automation systems,automation systems,building automation,systems,air,automation,issues,ventilation air conditioning,ventilation air,using remote monitoring,using remote,usage performance issues,usage performance,time data energy,throughout bas hvac,throughout bas,temperature building heating,temperature building
3,label,building management systems,computerised monitoring,hvac,internet,open systems,,,,,,,,,,,,,,,
4,tfidf,mobile,telephony branding mobile,telephony branding,single international brands,single international,operators frantically consolidating,operators frantically,name mobile telephony,name mobile,mobile telephony branding,mobile telephony,mobile operators frantically,mobile operators,international brands,frantically consolidating businesses,frantically consolidating,frantically,consolidating businesses single,consolidating businesses,consolidating
4,label,cellular radio,,,,,,,,,,,,,,,,,,,
5,tfidf,geometric theory,au,methods,splitting,stability,parabolic,geometric,term,initial,work abstract banach,work abstract,whereas term involving,whereas term,way regarded splitting,way regarded,value problem au,treat term implicitly,treat term,theory discretizations semilinear,theory discretizations
5,label,banach spaces,initial value problems,runge-kutta methods,stability,,,,,,,,,,,,,,,,
6,tfidf,information centers,centers,obirn,disability related,db link,clearinghouse,oregon,people disabilities,disability,information,disabilities,db,services,day,link,ways,people,related,works improve services,works improve
6,label,handicapped aids,information centres,information needs,special libraries,,,,,,,,,,,,,,,,
7,tfidf,rf field,rf,field,coil,quadrature,high field,surface coil,quadrature surface coil,quadrature surface,quadrature coil,human head,field quadrature,intensity distribution,polarization,human,distribution,head,complicated,intensity,high
7,label,bioelectric phenomena,biomedical equipment,biomedical mri,brain,coils,electromagnetic wave polarisation,finite difference time-domain analysis,image segmentation,maxwell equations,medical image processing,physiological models,solid modelling,,,,,,,,
8,tfidf,finite automata,automata,finite,memory finite automata,memory finite,input memory finite,input memory,semi input memory,semi input,finite automata delay,automata delay,memory,semi,input,weakly invertible semi,weakly invertible,structure weakly invertible,structure weakly,invertible semi input,invertible semi
8,label,finite automata,,,,,,,,,,,,,,,,,,,
9,tfidf,supranational,subject access government,subject access,rulings,access government,government,supranational organizations,new model subject,model subject access,model subject,entities affected,organizations,government information,access government information,subject,entities,access,new model,affected,trade
9,label,government data processing,legislation,,,,,,,,,,,,,,,,,,
10,tfidf,number successor,minimizing number successor,minimizing number,successor,successor states,number successor states,minimizing,vertices,states,weights,stubborn set method,stubborn set,stubborn,set vertices,set method,reduced lts,lts,set,number,polynomial time
10,label,combinatorial mathematics,communicating sequential processes,,,,,,,,,,,,,,,,,,
11,tfidf,time variant,plants,variant plants asymptotically,variant plants,time variant plants,plants asymptotically constant,plants asymptotically,crone control,crone,asymptotically constant coefficients,asymptotically constant,variant,constant coefficients,asymptotically,coefficients,constant,control,frequency,robust control,frequency domain
11,label,asymptotic stability,differentiation,frequency response,robust control,time-varying systems,,,,,,,,,,,,,,,
12,tfidf,surface,object,arbitrary topology,topology,using surface,mathematical morphology,morphology,3d,arbitrary,objects,mathematical,using,approximation,modeling,method,whole object surface,whole object,using surface evolutions,using surface evolution,using range data
12,label,approximation theory,curvature measurement,distance measurement,image processing,mathematical morphology,minimisation,set theory,topology,,,,,,,,,,,,
13,tfidf,snaking,pintle,friction,damping,pintle pin,pin,friction damping,car,shown give,pintle pin friction,pin friction,damping pintle,caravan snaking,caravan,car caravan snaking,car caravan,baseline,linear,give,model
13,label,automobiles,dynamics,friction,motion control,vibration control,,,,,,,,,,,,,,,
14,tfidf,dpm,dose,calculations,beams,microtron,50 mev,10 50 mev,10 50,mev,electron,code,monte carlo,monte,carlo,cm,profile,50,spatial distributions,racetrack microtron,racetrack
14,label,dosimetry,electron beam applications,electron transport theory,medical computing,monte carlo methods,radiation therapy,,,,,,,,,,,,,,
15,tfidf,aperture,aperture optimization,direct aperture optimization,direct aperture,optimization,direct,beam,step shoot,shoot,apertures,step,treatment,imrt,leaf,intensity,per beam direction,per beam,demonstrate direct aperture,demonstrate direct,beam direction
15,label,dosimetry,intensity modulation,inverse problems,medical computing,monte carlo methods,optimisation,planning,radiation therapy,simulated annealing,,,,,,,,,,,
16,tfidf,radiofrequency,platform,processing,echographic,hardware,hardware software,real time,signal,visualization,pc,software platform,real time processing,radiofrequency echo signal,radiofrequency echo,hardware software platform,echographic radiofrequency,echograph,echo signal,echo,also constitutes
16,label,acoustic signal processing,biomedical ultrasonics,data visualisation,medical signal processing,real-time systems,,,,,,,,,,,,,,,
17,tfidf,optimization,deterministic,economic,using deterministic approach,using deterministic,turning operations,single pass turning,pass turning operations,pass turning,deterministic approach optimization,deterministic approach,cutting conditions single,conditions single pass,conditions single,approach optimization,cutting conditions,single pass,cam,turning,pass
17,label,computer aided production planning,computerised numerical control,cutting,machine tools,machining,optimisation,,,,,,,,,,,,,,
18,tfidf,dhpf compiler,dhpf,compiler,hpf,optimization,fortran,parallel,applications,scalable parallel performance,scalable parallel,rice dhpf compiler,rice dhpf,rice,regular data parallel,regular data,parallelizations,parallel applications,data parallel applications,parallel performance,analysis optimization
18,label,fortran,optimising compilers,parallelising compilers,,,,,,,,,,,,,,,,,
19,tfidf,cnn,map cnn,map,local activity,vortex pinning,pinning,magnetic vortex pinning,magnetic vortex,local activity principle,cnn system,cell impedance,activity principle,activity,vortex,logistic,impedance,local,magnetic,coupling,cell
19,label,cellular neural nets,chaos,difference equations,,,,,,,,,,,,,,,,,
20,tfidf,knowledge management,knowledge,management,involved knowledge management,involved knowledge,involved,traces history brief,strategies involved knowledge,strategies involved,storing sharing applying,storing sharing,steps involved knowledge,sharing applying creating,sharing applying,selecting organizing storing,selecting organizing,role describes functions,role describes,principles knowledge management,principles knowledge
20,label,business data processing,data warehouses,management information systems,marketing data processing,,,,,,,,,,,,,,,,
21,tfidf,trajectory,redundant manipulators,trajectory planning,arms,manipulators,redundant,fractional,planning,using theory fractional,type arms proposed,type arms,trajectory planning schemes,trajectory planning algorithms,trajectory optimization free,trajectory control redundant,theory fractional calculus,theory fractional,studies chaos revealed,studies chaos,space presence obstacles
21,label,calculus,chaos,inverse problems,matrix algebra,nonlinear dynamical systems,optimisation,position control,redundant manipulators,,,,,,,,,,,,
22,tfidf,access,locks,lock,object,privileges,possession,access right,access privileges,right,privilege management,privilege,given object,access rights,access privilege management,access privilege,key,rights,number,defined,one
22,label,authorisation,,,,,,,,,,,,,,,,,,,
23,tfidf,global crossing,crossing,deal,global,telecommunications singapore technologies,telecommunications singapore,technologies take control,technologies take,take control global,steal deal global,steal deal,steal,singapore technologies take,singapore technologies,put clear yet,put clear,originally offered deal,originally offered,offered deal leaves,offered deal
23,label,telecommunication,,,,,,,,,,,,,,,,,,,
24,tfidf,polymeric,molding,polymeric microlenses,molding process,micromolding,microlens,microlenses,process,fabrication,optical,weight cost optical,weight cost,various defects develop,various defects,using silicon instead,using silicon,using micromolding polymeric,using micromolding,using microcompression molding,using microcompression
24,label,microlenses,micromachining,moulding,optical design techniques,optical fabrication,optical polymers,optical storage,,,,,,,,,,,,,
25,tfidf,cog,cog defuzzifier,defuzzifier,co adaptation,co,design parameters,learning evolution,lamarckian co adaptation,lamarckian co,lamarckian,co adaptation learning,adaptation learning evolution,adaptation learning,adaptation,learning,design,evolution,using lamarckian co,using lamarckian,search design parameters
25,label,control system synthesis,fuzzy control,learning (artificial intelligence),parameter estimation,,,,,,,,,,,,,,,,
